Rank ,Team ,Current Value1($mil) ,1-Yr Value Change(%),Debt/Value3(%),Revenues ($mil),Operating Income4($mil)
1, New York Knicks,543,10,46,181,25.2
2,Los Angeles Lakers,529,4,10,156,38.2
3,Houston Rockets,422,14,17,141,25.8
4,Chicago Bulls,409,11,13,136,34.7
5,Dallas Mavericks,403,8,36,124,-17.8
6,Detroit Pistons,402,11,0,134,25.0
7,Phoenix Suns,395,11,51,132,40.4
8,Miami Heat,362,30,51,119,11.5
9,Cleveland Cavaliers,356,20,28,102,16.0
10,Boston Celtics,353,5,51,110,8.4
11,Philadelphia 76ers,351,3,27,110,0.7
12,San Antonio Spurs,350,8,37,121,23.7
13,Sacramento Kings,345,5,24,119,10.0
14,Indiana Pacers,324,4,15,108,8.5
15,Washington Wizards,318,16,22,106,14.3
16,Minnesota Timberwolves,303,4,17,101,-5.0
17,Charlotte Bobcats,300,NA,50,73,9.8
18,Memphis Grizzlies,294,23,30,98,-15.6
19,Denver Nuggets,283,6,18,94,12.3
20,Toronto Raptors,278,-6,40,94,-1.3
21,Utah Jazz,274,7,9,91,9.4
22,New Jersey Nets,271,-9,78,87,-6.1
23,Atlanta Hawks,262,13,27,87,8.9
24,Los Angeles Clippers,248,11,0,83,14.6
25,Orlando Magic,247,13,24,82,-9.5
26,Golden State Warriors,243,7,31,81,-3.1
27,Seattle SuperSonics,234,14,38,81,-7.8
28,Milwaukee Bucks,231,16,22,78,-1.5
29,Portland Trail Blazers,227,-8,25,78,-31.5
30,New Orleans Hornets,225,0,67,78,-3.9